job number,luminanceLevels,reflectanceNumbers,reflectance start,reflectance end,bucket path
1,[0.2000    0.2119    0.2245    0.2379    0.2520    0.2670    0.2829    0.2998    0.3176    0.3365    0.3566    0.3778    0.4003    0.4241    0.4494    0.4761    0.5044    0.5345    0.5663    0.6000],1:5,1,5,render-toolbox-vwcc/job-1
2,[0.2000    0.2119    0.2245    0.2379    0.2520    0.2670    0.2829    0.2998    0.3176    0.3365    0.3566    0.3778    0.4003    0.4241    0.4494    0.4761    0.5044    0.5345    0.5663    0.6000],6:10,6,10,render-toolbox-vwcc/job-2
3,[0.2000    0.2119    0.2245    0.2379    0.2520    0.2670    0.2829    0.2998    0.3176    0.3365    0.3566    0.3778    0.4003    0.4241    0.4494    0.4761    0.5044    0.5345    0.5663    0.6000],11:15,11,15,render-toolbox-vwcc/job-3
4,[0.2000    0.2119    0.2245    0.2379    0.2520    0.2670    0.2829    0.2998    0.3176    0.3365    0.3566    0.3778    0.4003    0.4241    0.4494    0.4761    0.5044    0.5345    0.5663    0.6000],16:20,16,20,render-toolbox-vwcc/job-4
5,[0.2000    0.2119    0.2245    0.2379    0.2520    0.2670    0.2829    0.2998    0.3176    0.3365    0.3566    0.3778    0.4003    0.4241    0.4494    0.4761    0.5044    0.5345    0.5663    0.6000],21:25,21,25,render-toolbox-vwcc/job-5
6,[0.2000    0.2119    0.2245    0.2379    0.2520    0.2670    0.2829    0.2998    0.3176    0.3365    0.3566    0.3778    0.4003    0.4241    0.4494    0.4761    0.5044    0.5345    0.5663    0.6000],26:30,26,30,render-toolbox-vwcc/job-6
7,[0.2000    0.2119    0.2245    0.2379    0.2520    0.2670    0.2829    0.2998    0.3176    0.3365    0.3566    0.3778    0.4003    0.4241    0.4494    0.4761    0.5044    0.5345    0.5663    0.6000],31:35,31,35,render-toolbox-vwcc/job-7
8,[0.2000    0.2119    0.2245    0.2379    0.2520    0.2670    0.2829    0.2998    0.3176    0.3365    0.3566    0.3778    0.4003    0.4241    0.4494    0.4761    0.5044    0.5345    0.5663    0.6000],36:40,36,40,render-toolbox-vwcc/job-8
9,[0.2000    0.2119    0.2245    0.2379    0.2520    0.2670    0.2829    0.2998    0.3176    0.3365    0.3566    0.3778    0.4003    0.4241    0.4494    0.4761    0.5044    0.5345    0.5663    0.6000],41:45,41,45,render-toolbox-vwcc/job-9
10,[0.2000    0.2119    0.2245    0.2379    0.2520    0.2670    0.2829    0.2998    0.3176    0.3365    0.3566    0.3778    0.4003    0.4241    0.4494    0.4761    0.5044    0.5345    0.5663    0.6000],46:50,46,50,render-toolbox-vwcc/job-10,
