job name,bucket path,error location,luminanceLevel,reflectanceNumber,error message
job-6-no-return,render-toolbox-vwcc/redo,ConeResponse,0.2829,29,Unable to read MAT-file /root/.matlab/R2015b/matlabprefs.mat. Not a binary MAT-file. Try LOAD -ASCII to read as text.
job-18,render-toolbox-vwcc/redo,ConeResponse,0.2379,87,Unable to read MAT-file /root/.matlab/R2015b/matlabprefs.mat. Not a binary MAT-file. Try LOAD -ASCII to read as text.
job-18,render-toolbox-vwcc/redo,ConeResponse,0.2829,89,Unable to read MAT-file /root/.matlab/R2015b/matlabprefs.mat. Not a binary MAT-file. Try LOAD -ASCII to read as text.
job-18,render-toolbox-vwcc/redo,ConeResponse,0.3566,86,Unable to read MAT-file /root/.matlab/R2015b/matlabprefs.mat. Not a binary MAT-file. Try LOAD -ASCII to read as text.
job-19,render-toolbox-vwcc/redo,Rendered,0.2829,95,Warning: running as root WARNING: low display number: 0 You are attempting to run the xpra server against what seems to be a default X11 display ':0'. This is generally not what you want. You should probably use a higher display number just to avoid any confusion (and also this warning message). Entering daemon mode; any further errors will be reported to:   /root/.xpra/:0.log Caught a critical exception: main [X11Session] Cannot open the display
job-21,render-toolbox-vwcc/redo,ConeResponse,0.3566,101,Unable to read MAT-file /root/.matlab/R2015b/matlabprefs.mat. Not a binary MAT-file. Try LOAD -ASCII to read as text.
job-21,render-toolbox-vwcc/redo,ConeResponse,0.4003,104,Unable to read MAT-file /root/.matlab/R2015b/matlabprefs.mat. Not a binary MAT-file. Try LOAD -ASCII to read as text.
job-23,render-toolbox-vwcc/redo,ConeResponse,0.2829,114,Unable to read MAT-file /root/.matlab/R2015b/matlabprefs.mat. Not a binary MAT-file. Try LOAD -ASCII to read as text.
job-23,render-toolbox-vwcc/redo,ConeResponse,0.4003,114,Unable to read MAT-file /root/.matlab/R2015b/matlabprefs.mat. Not a binary MAT-file. Try LOAD -ASCII to read as text.
job-27,render-toolbox-vwcc/redo,ConeResponse,0.4003,134,Unable to read MAT-file /root/.matlab/R2015b/matlabprefs.mat. Not a binary MAT-file. Try LOAD -ASCII to read as text.
job-28,render-toolbox-vwcc/redo,ConeResponse,0.4003,139,Unable to read MAT-file /root/.matlab/R2015b/matlabprefs.mat. Not a binary MAT-file. Try LOAD -ASCII to read as text.
job-30,render-toolbox-vwcc/redo,Rendered,0.4003,148,Warning: running as root WARNING: low display number: 0 You are attempting to run the xpra server against what seems to be a default X11 display ':0'. This is generally not what you want. You should probably use a higher display number just to avoid any confusion (and also this warning message). Entering daemon mode; any further errors will be reported to:   /root/.xpra/:0.log Caught a critical exception: main [X11Session] Cannot open the display
job-31,render-toolbox-vwcc/redo,Originals,0.3778,151,Cannot CD to /home/ubuntu/render-toolbox-working/VirtualWorldColorConstancy/ToyVirtualWorld/Working/luminance-0_2670-reflectance-151-BigBall-CheckerBoard/scenes/Mitsuba (Name is nonexistent or not a directory).
job-47,render-toolbox-vwcc/redo,Rendered,0.2379,232,Warning: running as root WARNING: low display number: 0 You are attempting to run the xpra server against what seems to be a default X11 display ':0'. This is generally not what you want. You should probably use a higher display number just to avoid any confusion (and also this warning message). Entering daemon mode; any further errors will be reported to:   /root/.xpra/:0.log Caught a critical exception: main [X11Session] Cannot open the display
job-52,render-toolbox-vwcc/redo,ConeResponse,0.2379,257,Unable to read MAT-file /root/.matlab/R2015b/matlabprefs.mat. Not a binary MAT-file. Try LOAD -ASCII to read as text.
job-55,render-toolbox-vwcc/redo,ConeResponse,0.4003,273,Unable to read MAT-file /root/.matlab/R2015b/matlabprefs.mat. Not a binary MAT-file. Try LOAD -ASCII to read as text.
job-55,render-toolbox-vwcc/redo,ConeResponse,0.2998,272,Unable to read MAT-file /root/.matlab/R2015b/matlabprefs.mat. Not a binary MAT-file. Try LOAD -ASCII to read as text.
job-56,render-toolbox-vwcc/redo,ConeResponse,0.4003,279,Unable to read MAT-file /root/.matlab/R2015b/matlabprefs.mat. Not a binary MAT-file. Try LOAD -ASCII to read as text.
job-59,render-toolbox-vwcc/redo,Rendered,0.267,295,Warning: running as root WARNING: low display number: 0 You are attempting to run the xpra server against what seems to be a default X11 display ':0'. This is generally not what you want. You should probably use a higher display number just to avoid any confusion (and also this warning message). Entering daemon mode; any further errors will be reported to:   /root/.xpra/:0.log Caught a critical exception: main [X11Session] Cannot open the display
job-63,render-toolbox-vwcc/redo,ConeResponse,0.3566,311,Unable to read MAT-file /root/.matlab/R2015b/matlabprefs.mat. Not a binary MAT-file. Try LOAD -ASCII to read as text.
job-69,render-toolbox-vwcc/redo,ConeResponse,0.2379,342,Unable to read MAT-file /root/.matlab/R2015b/matlabprefs.mat. Not a binary MAT-file. Try LOAD -ASCII to read as text.
job-76,render-toolbox-vwcc/redo,ConeResponse,0.2379,377,Unable to read MAT-file /root/.matlab/R2015b/matlabprefs.mat. Not a binary MAT-file. Try LOAD -ASCII to read as text.
job-79,render-toolbox-vwcc/redo,ConeResponse,0.3566,391,Cannot read file /root/.matlab/R2015b/matlabprefs.mat.
job-82,render-toolbox-vwcc/redo,Originals,0.2829,407,Warning: running as root WARNING: low display number: 0 You are attempting to run the xpra server against what seems to be a default X11 display ':0'. This is generally not what you want. You should probably use a higher display number just to avoid any confusion (and also this warning message). Entering daemon mode; any further errors will be reported to:   /root/.xpra/:0.log Caught a critical exception: main [X11Session] Cannot open the display
job-93,render-toolbox-vwcc/redo,ConeResponse,0.4003,464,Unable to read MAT-file /root/.matlab/R2015b/matlabprefs.mat. Not a binary MAT-file. Try LOAD -ASCII to read as text.
