job number,luminanceLevels,reflectanceNumbers,reflectance start,reflectance end,bucket path
16,[0.2000    0.2444    0.2889    0.3333    0.3778    0.4222    0.4667    0.5111    0.5556    0.6000],151:160,151,160,render-toolbox-vwcc2/job-16
17,[0.2000    0.2444    0.2889    0.3333    0.3778    0.4222    0.4667    0.5111    0.5556    0.6000],161:170,161,170,render-toolbox-vwcc2/job-17
18,[0.2000    0.2444    0.2889    0.3333    0.3778    0.4222    0.4667    0.5111    0.5556    0.6000],171:180,171,180,render-toolbox-vwcc2/job-18
19,[0.2000    0.2444    0.2889    0.3333    0.3778    0.4222    0.4667    0.5111    0.5556    0.6000],181:190,181,190,render-toolbox-vwcc2/job-19
20,[0.2000    0.2444    0.2889    0.3333    0.3778    0.4222    0.4667    0.5111    0.5556    0.6000],191:200,191,200,render-toolbox-vwcc2/job-20
21,[0.2000    0.2444    0.2889    0.3333    0.3778    0.4222    0.4667    0.5111    0.5556    0.6000],201:210,201,210,render-toolbox-vwcc2/job-21
22,[0.2000    0.2444    0.2889    0.3333    0.3778    0.4222    0.4667    0.5111    0.5556    0.6000],211:220,211,220,render-toolbox-vwcc2/job-22
23,[0.2000    0.2444    0.2889    0.3333    0.3778    0.4222    0.4667    0.5111    0.5556    0.6000],221:230,221,230,render-toolbox-vwcc2/job-23
24,[0.2000    0.2444    0.2889    0.3333    0.3778    0.4222    0.4667    0.5111    0.5556    0.6000],231:240,231,240,render-toolbox-vwcc2/job-24
25,[0.2000    0.2444    0.2889    0.3333    0.3778    0.4222    0.4667    0.5111    0.5556    0.6000],241:250,241,250,render-toolbox-vwcc2/job-25
26,[0.2000    0.2444    0.2889    0.3333    0.3778    0.4222    0.4667    0.5111    0.5556    0.6000],251:260,251,260,render-toolbox-vwcc2/job-26
27,[0.2000    0.2444    0.2889    0.3333    0.3778    0.4222    0.4667    0.5111    0.5556    0.6000],261:270,261,270,render-toolbox-vwcc2/job-27
28,[0.2000    0.2444    0.2889    0.3333    0.3778    0.4222    0.4667    0.5111    0.5556    0.6000],271:280,271,280,render-toolbox-vwcc2/job-28
29,[0.2000    0.2444    0.2889    0.3333    0.3778    0.4222    0.4667    0.5111    0.5556    0.6000],281:290,281,290,render-toolbox-vwcc2/job-29
30,[0.2000    0.2444    0.2889    0.3333    0.3778    0.4222    0.4667    0.5111    0.5556    0.6000],291:300,291,300,render-toolbox-vwcc2/job-30
